
 25246: fstat(  5:0x4d0452a0, 0x4cd6c7c3, 0xf3df6a40 ) = 00000000

 25246: brk(  12:00000000, 0x4cd734b9, 0x020270 ) = 0xc30f4000

 25246: brk(  12:0xc30f4000, 0x4cd734b9, 0xc30f4000 ) = 0xc3115000

 25246: execve(  59:0xf3df7220, 0x4cd41e37, 0xf3df73d8 ) = parent: ptrace event (PTRACE_EVENT_EXEC)

 25246: execve(  59:00000000, 00000000, 00000000 ) = 00000000

 25246: brk(  12:0x000001, 0x47678ec9, 0x00004d ) = 0x81ff3000

 25246: access(  21:0x000002, 0x4766c7de, 0x000017 ) = 0xfffffffe

 25246: access(  21:00000000, 0x47679e27, 0x4765d190 ) = 0xfffffffe

 25246: openat(  257:0x8032ca29, 0x47679cdd, 0x080000 ) = 0x000003

 25246: fstat(  5:0x000003, 0x47679c43, 0x823f3c90 ) = 00000000

 25246: mmap(  9:00000000, 0x47679f43, 0x000001 ) = 0x4786a000

 25246: close(  3:0x000003, 0x47679ed7, 0x000001 ) = 00000000

 25246: access(  21:0x4767e7e2, 0x47675139, 00000000 ) = 0xfffffffe

 25246: openat(  257:0x823f3e50, 0x47679cdd, 0x080000 ) = 0x000003

 25246: read(  0:0x823f3e50, 0x47679da4, 0x000340 ) = 0x000340

 25246: fstat(  5:0x000003, 0x47679c43, 0x823f3cf0 ) = 00000000

 25246: mmap(  9:00000000, 0x47679f43, 0x000003 ) = 0x47868000

 25246: mmap(  9:00000000, 0x47679f43, 0x000005 ) = 0x47433000

 25246: mprotect(  10:0x47868000, 0x47679ff7, 00000000 ) = 00000000

 25246: mmap(  9:0x025000, 0x47679f43, 0x000003 ) = 0x47658000

 25246: close(  3:0x47868000, 0x47679ed7, 00000000 ) = 00000000

 25246: access(  21:0x4767e7e2, 0x47675139, 00000000 ) = 0xfffffffe

 25246: openat(  257:0x823f3e20, 0x47679cdd, 0x080000 ) = 0x000003

 25246: read(  0:0x823f3e20, 0x47679da4, 0x000340 ) = 0x000340

 25246: fstat(  5:0x000003, 0x47679c43, 0x823f3cc0 ) = 00000000

 25246: mmap(  9:00000000, 0x47679f43, 0x000005 ) = 0x4722f000

 25246: mprotect(  10:0x47868500, 0x47679ff7, 00000000 ) = 00000000

